,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
964,,,,,,,,,,,,,,,,,051-PRECINCT-44,GRANT,Precinct-44,94.0,23.0,4.0,1.0,108.0,16.0,97.0,28.0,106.0,15.0,051,right_only
965,,,,,,,,,,,,,,,,,051-PRECINCT-43,GRANT,Precinct-43,285.0,101.0,25.0,6.0,303.0,107.0,306.0,107.0,314.0,81.0,051,right_only
966,,,,,,,,,,,,,,,,,051-PRECINCT-42,GRANT,Precinct-42,206.0,76.0,9.0,3.0,234.0,62.0,210.0,88.0,248.0,40.0,051,right_only
967,,,,,,,,,,,,,,,,,051-PRECINCT-12,GRANT,Precinct-12,51.0,19.0,3.0,0.0,51.0,23.0,47.0,27.0,55.0,15.0,051,right_only
968,,,,,,,,,,,,,,,,,051-PRECINCT-21,GRANT,Precinct-21,68.0,31.0,6.0,2.0,80.0,28.0,69.0,36.0,83.0,18.0,051,right_only
969,,,,,,,,,,,,,,,,,051-PRECINCT-22,GRANT,Precinct-22,253.0,97.0,28.0,3.0,295.0,93.0,269.0,118.0,320.0,56.0,051,right_only
970,,,,,,,,,,,,,,,,,051-PRECINCT-11,GRANT,Precinct-11,213.0,97.0,12.0,1.0,244.0,81.0,219.0,107.0,258.0,61.0,051,right_only
971,,,,,,,,,,,,,,,,,051-PRECINCT-32,GRANT,Precinct-32,71.0,36.0,2.0,1.0,80.0,28.0,75.0,34.0,82.0,23.0,051,right_only
972,,,,,,,,,,,,,,,,,051-PRECINCT-33,GRANT,Precinct-33,259.0,133.0,23.0,4.0,328.0,98.0,285.0,138.0,334.0,70.0,051,right_only
973,,,,,,,,,,,,,,,,,051-PRECINCT-41,GRANT,Precinct-41,146.0,83.0,15.0,1.0,165.0,85.0,149.0,101.0,172.0,65.0,051,right_only
